loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6910,9594992,K05697.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,274.1085925,,,182.1603339,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.53946,46.294769,15.496
6911,9596820,K05698.01,,CANDIDATE,CANDIDATE,,0,0,0,0,282.029084,7.54E-03,-7.54E-03,170.69,2.22E-02,-2.22E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.22586,46.22015,13.49
6912,9598315,K05699.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,339.18109,1.59E-02,-1.59E-02,415.078,3.02E-02,-3.02E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.75208,46.253868,12.637
6913,9602595,K05700.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,3.55650976,2.77E-07,-2.77E-07,133.5221921,6.28E-05,-6.28E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.14346,46.228458,11.882
6914,9645188,K05701.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,48.55059299,,,148.6714009,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.20685,46.313541,15.227
6915,9659022,K05702.01,,CANDIDATE,CANDIDATE,,0,0,0,0,511.882,1.51E-02,-1.51E-02,533.7435,2.04E-02,-2.04E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.69479,46.319328,15.462
6916,9662475,K05703.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,247.372131,2.06E-03,-2.06E-03,277.35008,6.94E-03,-6.94E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.85858,46.30019,13.359
6917,9674789,K05704.01,,CANDIDATE,CANDIDATE,,0,0,0,0,96.16705,2.07E-03,-2.07E-03,134.6749,1.43E-02,-1.43E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,300.47403,46.332039,13.419
6918,9705620,K05705.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,95.254421,1.84E-03,-1.84E-03,181.4574,1.47E-02,-1.47E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.87979,46.400139,15.833
6919,9715631,K05706.01,Kepler-1636 b,CONFIRMED,CANDIDATE,,0,0,0,0,425.483539,8.62E-03,-8.62E-03,149.0438,1.86E-02,-1.86E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.05762,46.441029,15.807
6920,9723746,K05707.01,,CANDIDATE,CANDIDATE,,0,0,0,0,208.800733,6.39E-03,-6.39E-03,328.6955,1.45E-02,-1.45E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.94031,46.494099,15.239
6921,9724993,K05708.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,7.863361238,1.10E-06,-1.10E-06,131.685485,1.10E-04,-1.10E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.31314,46.448212,12.524
6922,9758615,K05709.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,94.20561159,,,169.2951411,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.59543,46.509666,11.613
6923,9771920,K05710.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,378.7064396,,,470.6725521,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.40878,46.515259,15.658
6924,9775475,K05711.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,78.4286313,6.88E-05,-6.88E-05,169.312404,9.73E-04,-9.73E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.8945,46.592491,15.069
