loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.80847,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.24728,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.887803076,4.66E-07,-4.66E-07,124.8130808,7.51E-05,-7.51E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.70935,48.080853,9.174
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.849371737,2.34E-06,-2.34E-06,157.526686,4.88E-04,-4.88E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.35654,38.94738,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,,0,0,0,0,4.780327581,8.52E-07,-8.52E-07,132.974086,1.48E-04,-1.48E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.73972,44.647419,11.665
6,8554498,K00005.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,7.05185637,,,133.3669015,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.73972,44.647419,11.665
7,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.334101467,1.66E-06,-1.66E-06,133.703081,9.83E-04,-9.83E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.59955,38.366772,12.161
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.213668926,1.09E-06,-1.09E-06,123.611878,2.74E-04,-2.74E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.61533,50.13575,12.211
9,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.16015259,8.68E-07,-8.68E-07,121.704645,6.73E-04,-6.73E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.66101,41.13789,12.45
10,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.719809197,9.39E-07,-9.39E-07,135.068298,2.06E-04,-2.06E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.80377,49.530788,13.123
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.28812,42.45108,13.563
12,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.747838198,3.90E-06,-3.90E-06,171.66504,9.02E-04,-9.02E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.06152,50.265129,13.496
13,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,,0,0,0,0,17.85522168,3.68E-06,-3.68E-06,146.596466,1.63E-04,-1.63E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.45374,41.01099,11.353
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,,0,1,0,0,1.763587535,4.20E-08,-4.20E-08,120.5659254,1.99E-05,-1.99E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.97119,46.868359,9.958
15,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.947376671,3.23E-06,-3.23E-06,171.522978,8.83E-04,-8.83E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.61194,43.305141,10.47
16,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.012476582,1.16E-06,-1.16E-06,135.259271,2.98E-04,-2.98E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.1434,39.089779,12.403
17,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,0.895277575,5.07E-07,-5.07E-07,133.411986,5.04E-04,-5.04E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.34421,45.40992,13.574
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.234699282,1.19E-07,-1.19E-07,121.4865708,2.92E-05,-2.92E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.83725,48.239944,13.303
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,,0,1,0,0,3.548465446,1.83E-07,-1.83E-07,122.9014315,4.26E-05,-4.26E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,299.40701,44.035053,13.369
20,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,1.20320092,2.96E-07,-2.96E-07,133.929836,2.04E-04,-2.04E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,280.94385,42.839184,11.374
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.437962934,1.71E-07,-1.71E-07,171.0091259,2.88E-05,-2.88E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.24344,50.040379,13.438
22,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,4.288515468,1.07E-06,-1.07E-06,121.97268,2.12E-04,-2.12E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,284.73859,47.169628,13.396
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,,0,0,0,0,7.891448838,5.06E-07,-5.06E-07,177.2499624,5.03E-05,-5.03E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,282.62967,46.32336,13.435
24,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.693305543,3.84E-07,-3.84E-07,136.8627229,6.62E-05,-6.62E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.16632,45.403061,12.291
25,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,2.086075752,1.39E-06,-1.39E-06,170.965627,5.75E-04,-5.75E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.8154,39.819469,12.963
26,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,3.132604547,1.48E-06,-1.48E-06,136.010454,3.94E-04,-3.94E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.26166,47.815521,13.499
27,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,15.03946326,1.11E-05,-1.11E-05,144.137461,6.06E-04,-6.06E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.73282,40.150341,11.997
28,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.141877248,6.60E-08,-6.60E-08,170.3386848,4.62E-05,-4.62E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.39404,38.904911,13.418
29,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.100870416,3.61E-07,-3.61E-07,168.1460533,7.02E-05,-7.02E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.16486,39.376942,11.26
30,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.925589891,3.65E-06,-3.65E-06,169.69275,3.19E-03,-3.19E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.0318,42.468845,10.795
31,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.366197145,1.03E-06,-1.03E-06,133.55969,2.27E-03,-2.27E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.9679,40.926769,11.059
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,,0,0,0,0,12.81590421,1.95E-05,-1.95E-05,122.94682,1.19E-03,-1.19E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.38599,41.990269,11.197
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.88707073,2.28E-05,-2.28E-05,133.17797,2.68E-03,-2.68E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.38599,41.990269,11.197
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,,0,0,0,0,35.3331932,2.25E-04,-2.25E-04,153.98249,4.89E-03,-4.89E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.38599,41.990269,11.197
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,,0,0,0,0,17.83367834,1.39E-05,-1.39E-05,181.233943,6.03E-04,-6.03E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.1507,45.139832,9.364
36,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,11.32029599,1.72E-05,-1.72E-05,177.08388,1.27E-03,-1.27E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.26605,45.350697,13.29
37,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,66.46746217,3.00E-05,-3.00E-05,160.47651,3.58E-04,-3.58E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,300.15186,45.089611,13.483
38,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,6.397185875,2.79E-06,-2.79E-06,174.365353,3.25E-04,-3.25E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.26614,38.837917,13.133
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.487688776,1.11E-06,-1.11E-06,170.932217,2.53E-04,-2.53E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.25549,48.355232,13.77
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,,0,0,0,0,6.02977241,6.26E-05,-6.26E-05,132.48162,7.57E-03,-7.57E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.25549,48.355232,13.77
41,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,23.83680888,1.51E-06,-1.51E-06,173.7759431,4.98E-05,-4.98E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.55386,43.543179,13.722
42,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,,0,0,0,0,8.31377304,4.21E-05,-4.21E-05,175.99137,4.02E-03,-4.02E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.24902,46.164822,13.704
43,6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,10.43114677,3.27E-06,-3.27E-06,133.936337,2.64E-04,-2.64E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.91885,41.332432,13.761
44,3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.98786272,2.31E-06,-2.31E-06,168.011233,6.18E-04,-6.18E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.97745,38.678352,13.109
45,2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.388887193,1.68E-06,-1.68E-06,172.259054,3.92E-04,-3.92E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.03091,37.773529,13.513
46,8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,1.63345402,2.88E-05,-2.88E-05,181.8556,1.32E-02,-1.32E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.93594,44.161045,12.179
47,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.43414171,2.14E-05,-2.14E-05,177.84346,1.77E-03,-1.77E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.22617,49.548199,11.582
48,7051180,K00064.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1.951082219,3.89E-06,-3.89E-06,157.54316,1.59E-03,-1.59E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.51059,42.54744,13.143
49,10223615,K00065.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,27.25471993,,,176.52949,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.39066,47.223869,11.679
50,10620329,K00066.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,0.436282594,8.80E-08,-8.80E-08,170.702041,1.56E-04,-1.56E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.70923,47.840019,11.002
51,8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.000840564,6.44E-07,-6.44E-07,121.293771,5.61E-04,-5.61E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.89307,44.827461,12.733
52,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.72674037,1.57E-06,-1.57E-06,134.926396,2.71E-04,-2.71E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.4183,38.672359,9.931
53,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,,0,0,0,0,10.85409593,4.98E-06,-4.98E-06,138.608031,3.78E-04,-3.78E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698,42.338718,12.498
54,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.696121272,2.39E-06,-2.39E-06,134.5014,5.40E-04,-5.40E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698,42.338718,12.498
55,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,,0,0,0,0,77.6114427,1.54E-04,-1.54E-04,164.7292,1.68E-03,-1.68E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698,42.338718,12.498
56,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,,0,0,0,0,6.09855603,2.54E-05,-2.54E-05,135.92906,3.77E-03,-3.77E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698,42.338718,12.498
57,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,,0,0,0,0,19.5776073,1.43E-04,-1.43E-04,135.2032,5.97E-03,-5.97E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698,42.338718,12.498
58,11904151,K00072.01,Kepler-10 b,CONFIRMED,CANDIDATE,,0,0,0,0,0.837491225,3.03E-07,-3.03E-07,131.574858,2.82E-04,-2.82E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.67938,50.241299,10.961
59,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,,0,0,0,0,45.29422297,5.60E-05,-5.60E-05,138.678725,9.87E-04,-9.87E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.67938,50.241299,10.961
60,6889235,K00074.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,5.188671659,2.19E-06,-2.19E-06,125.879388,3.53E-04,-3.53E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.32425,42.38847,10.96
61,7199397,K00075.01,,CANDIDATE,CANDIDATE,,0,0,0,0,105.8817667,1.31E-04,-1.31E-04,156.97935,1.01E-03,-1.01E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.49722,42.728481,10.775
62,9955262,K00076.01,,CANDIDATE,CANDIDATE,,0,0,0,0,77.4794704,2.46E-04,-2.46E-04,154.70734,2.30E-03,-2.30E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.54199,46.82214,10.143
63,9552608,K00080.01,,CANDIDATE,CANDIDATE,,0,0,0,0,9.250572762,2.90E-06,-2.90E-06,135.407531,2.59E-04,-2.59E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,300.53757,46.10434,11.31
64,8823868,K00081.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,23.8761144,2.24E-05,-2.24E-05,143.07006,7.73E-04,-7.73E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.78574,45.01849,11.409
65,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,,0,0,0,0,16.14567193,7.44E-06,-7.44E-06,134.754877,3.94E-04,-3.94E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.48273,47.208031,11.492
66,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,,0,0,0,0,10.31174786,1.23E-05,-1.23E-05,134.07991,1.00E-03,-1.00E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.48273,47.208031,11.492
67,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,,0,0,0,0,27.4536146,1.08E-04,-1.08E-04,145.02866,3.45E-03,-3.45E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.48273,47.208031,11.492
68,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,,0,0,0,0,7.07136119,3.09E-05,-3.09E-05,139.98763,3.81E-03,-3.81E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.48273,47.208031,11.492
69,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,,0,0,0,0,5.28691996,2.95E-05,-2.95E-05,135.85427,4.52E-03,-4.52E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.48273,47.208031,11.492
70,10187017,K00082.06,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,22.4098677,1.65E-04,-1.65E-04,147.38366,6.46E-03,-6.46E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.48273,47.208031,11.492
71,2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.286964466,3.83E-06,-3.83E-06,135.9945,3.40E-04,-3.40E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.42081,37.851799,11.898
72,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,,0,0,0,0,5.859935955,3.78E-06,-3.78E-06,132.040528,5.42E-04,-5.42E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.68869,41.15118,11.018
73,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.154911236,2.51E-06,-2.51E-06,133.498613,9.39E-04,-9.39E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.68869,41.15118,11.018
74,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,,0,0,0,0,8.13121389,1.90E-05,-1.90E-05,137.99254,1.88E-03,-1.88E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.68869,41.15118,11.018
75,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,,0,0,0,0,289.864067,1.21E-03,-1.21E-03,133.69719,2.14E-03,-2.14E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.2175,47.88446,11.664
76,7700871,K00088.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,5.17968868,1.15E-05,-1.15E-05,136.46144,2.02E-03,-2.02E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.31979,43.332722,11.871
77,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,,0,0,0,0,84.6877524,1.78E-04,-1.78E-04,150.57084,1.72E-03,-1.72E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,299.82117,43.81427,11.642
78,8056665,K00089.02,Kepler-462 c,CONFIRMED,CANDIDATE,,0,0,0,0,207.5829306,5.74E-04,-5.74E-04,289.88311,2.04E-03,-2.04E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,299.82117,43.81427,11.642
79,9210823,K00090.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,0.828206212,8.80E-07,-8.80E-07,135.722038,8.33E-04,-8.33E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.44153,45.609001,11.743
80,7941200,K00092.01,Kepler-1709 b,CONFIRMED,CANDIDATE,,0,0,0,0,65.7045275,1.06E-04,-1.06E-04,137.44275,1.40E-03,-1.40E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.37482,43.788219,11.667
81,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,,0,0,0,0,22.34296483,3.40E-06,-3.40E-06,132.741641,1.28E-04,-1.28E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.33307,41.891121,12.205
82,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,,0,0,0,0,10.42367744,7.17E-06,-7.17E-06,138.009041,5.84E-04,-5.84E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.33307,41.891121,12.205
83,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,,0,0,0,0,54.31996151,3.39E-05,-3.39E-05,161.239869,5.03E-04,-5.03E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.33307,41.891121,12.205
84,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.743166733,5.61E-06,-5.61E-06,131.61967,1.42E-03,-1.42E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.33307,41.891121,12.205
85,5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,,0,1,0,0,4.885488596,2.66E-07,-2.66E-07,134.2768785,4.53E-05,-4.53E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.58151,41.089809,12.885
86,10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.790120801,1.91E-06,-1.91E-06,138.088199,2.31E-04,-2.31E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.70883,47.33305,12.128
87,8505215,K00099.01,,CANDIDATE,CANDIDATE,,0,0,0,0,2190.701035,,,140.04806,1.86E-03,-1.86E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.43433,44.53112,12.96
88,8505215,K00099.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,79.87804945,,,184.7704412,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.43433,44.53112,12.96
89,4055765,K00100.01,,CANDIDATE,CANDIDATE,,0,0,0,0,9.9664004,1.22E-05,-1.22E-05,141.15324,1.01E-03,-1.01E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.17792,39.19949,12.598
90,8456679,K00102.01,Kepler-1990 b,CONFIRMED,CANDIDATE,,0,0,0,0,1.73513619,2.82E-07,-2.82E-07,135.060047,1.36E-04,-1.36E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,299.70474,44.435749,12.566
91,8456679,K00102.02,Kepler-1990 c,CONFIRMED,CANDIDATE,,0,0,0,0,4.06844957,1.21E-05,-1.21E-05,132.27614,2.55E-03,-2.55E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,299.70474,44.435749,12.566
92,2444412,K00103.01,Kepler-1710 b,CONFIRMED,CANDIDATE,,0,0,0,0,14.91095177,1.28E-05,-1.28E-05,141.336726,7.11E-04,-7.11E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.68335,37.751591,12.593
93,10318874,K00104.01,Kepler-94 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.508057497,3.78E-07,-3.78E-07,135.000657,1.24E-04,-1.24E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.19473,47.497131,12.895
94,8711794,K00105.01,Kepler-463 b,CONFIRMED,CANDIDATE,,0,0,0,0,8.981014925,3.09E-06,-3.09E-06,136.649307,2.79E-04,-2.79E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.93704,44.85791,12.87
95,10489525,K00106.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,1.612249049,4.35E-06,-4.35E-06,131.85204,2.31E-03,-2.31E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.35434,47.672081,12.775
96,11250587,K00107.01,Kepler-464 b,CONFIRMED,CANDIDATE,,0,0,0,0,7.256962446,5.84E-06,-5.84E-06,134.023923,6.61E-04,-6.61E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.83517,48.982361,12.702
