loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
1930,6880531,K01372.01,,FALSE POSITIVE,FALSE POSITIVE
1931,6863839,K01373.01,,FALSE POSITIVE,FALSE POSITIVE
1932,7296086,K01374.01,,FALSE POSITIVE,FALSE POSITIVE
1933,6766634,K01375.01,Kepler-1746 b,CONFIRMED,CANDIDATE
1934,6774826,K01376.01,,FALSE POSITIVE,FALSE POSITIVE
1935,7211469,K01377.01,Kepler-830 b,CONFIRMED,CANDIDATE
1936,7375795,K01378.01,,FALSE POSITIVE,FALSE POSITIVE
1937,7375795,K01378.02,,FALSE POSITIVE,FALSE POSITIVE
1938,7211221,K01379.01,Kepler-831 b,CONFIRMED,CANDIDATE
1939,7025526,K01380.01,,FALSE POSITIVE,FALSE POSITIVE
1940,9451127,K01381.01,,FALSE POSITIVE,FALSE POSITIVE
1941,9446824,K01382.01,,FALSE POSITIVE,FALSE POSITIVE
1942,8953257,K01383.01,,FALSE POSITIVE,FALSE POSITIVE
1943,8971432,K01384.01,,FALSE POSITIVE,FALSE POSITIVE
1944,9278553,K01385.01,,FALSE POSITIVE,FALSE POSITIVE
1945,9143254,K01386.01,,FALSE POSITIVE,FALSE POSITIVE
1946,8949247,K01387.01,,FALSE POSITIVE,FALSE POSITIVE
1947,9346253,K01388.01,,FALSE POSITIVE,FALSE POSITIVE
1948,9002237,K01389.01,,FALSE POSITIVE,FALSE POSITIVE
1949,9288786,K01390.01,,FALSE POSITIVE,FALSE POSITIVE
