loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
2458,10019399,K01796.01,,FALSE POSITIVE,FALSE POSITIVE
2459,10676014,K01797.01,Kepler-954 b,CONFIRMED,CANDIDATE
2460,6867766,K01798.01,,FALSE POSITIVE,FALSE POSITIVE
2461,6058614,K01799.01,,FALSE POSITIVE,FALSE POSITIVE
2462,11017901,K01800.01,Kepler-447 b,CONFIRMED,CANDIDATE
2463,5088591,K01801.01,Kepler-955 b,CONFIRMED,CANDIDATE
2464,11298298,K01802.01,Kepler-956 b,CONFIRMED,CANDIDATE
2465,4349442,K01803.01,,CANDIDATE,CANDIDATE
2466,4349442,K01803.02,,FALSE POSITIVE,FALSE POSITIVE
2467,4349442,K01803.03,,FALSE POSITIVE,FALSE POSITIVE
2468,11187436,K01804.01,Kepler-957 b,CONFIRMED,CANDIDATE
2469,4644952,K01805.01,Kepler-319 c,CONFIRMED,CANDIDATE
2470,4644952,K01805.02,Kepler-319 d,CONFIRMED,CANDIDATE
2471,4644952,K01805.03,Kepler-319 b,CONFIRMED,CANDIDATE
2472,9529744,K01806.01,,FALSE POSITIVE,FALSE POSITIVE
2473,9529744,K01806.02,Kepler-320 c,CONFIRMED,CANDIDATE
2474,9529744,K01806.03,Kepler-320 b,CONFIRMED,CANDIDATE
2475,10614012,K01807.01,,FALSE POSITIVE,FALSE POSITIVE
2476,7761918,K01808.01,Kepler-1769 b,CONFIRMED,CANDIDATE
2477,8240797,K01809.01,Kepler-321 c,CONFIRMED,CANDIDATE
2478,8240797,K01809.02,Kepler-321 b,CONFIRMED,CANDIDATE
2479,8164262,K01810.01,,FALSE POSITIVE,FALSE POSITIVE
2480,3966262,K01811.01,,FALSE POSITIVE,FALSE POSITIVE
2481,6279974,K01812.01,,FALSE POSITIVE,FALSE POSITIVE
2482,9455325,K01813.01,Kepler-958 b,CONFIRMED,CANDIDATE
2483,5621125,K01814.01,Kepler-959 b,CONFIRMED,CANDIDATE
2484,9872283,K01815.01,Kepler-960 b,CONFIRMED,CANDIDATE
2485,9872283,K01815.02,,CANDIDATE,CANDIDATE
2486,8624520,K01816.01,,CANDIDATE,CANDIDATE
2487,7918172,K01817.01,,FALSE POSITIVE,FALSE POSITIVE
2488,7870032,K01818.01,Kepler-961 b,CONFIRMED,CANDIDATE
2489,9597058,K01819.01,Kepler-962 b,CONFIRMED,CANDIDATE
2490,8277797,K01820.01,Kepler-322 c,CONFIRMED,CANDIDATE
2491,8277797,K01820.02,Kepler-322 b,CONFIRMED,CANDIDATE
2492,8832512,K01821.01,Kepler-963 b,CONFIRMED,CANDIDATE
2493,5124667,K01822.01,Kepler-1672 b,CONFIRMED,CANDIDATE
2494,10092312,K01823.01,,FALSE POSITIVE,FALSE POSITIVE
2495,10092312,K01823.02,,FALSE POSITIVE,FALSE POSITIVE
2496,2989404,K01824.01,Kepler-323 c,CONFIRMED,CANDIDATE
2497,2989404,K01824.02,Kepler-323 b,CONFIRMED,CANDIDATE
2498,5375194,K01825.01,Kepler-964 b,CONFIRMED,CANDIDATE
2499,6468138,K01826.01,Kepler-965 b,CONFIRMED,CANDIDATE
2500,10031707,K01827.01,,FALSE POSITIVE,FALSE POSITIVE
2501,11875734,K01828.01,Kepler-966 b,CONFIRMED,CANDIDATE
2502,7697568,K01829.01,,FALSE POSITIVE,FALSE POSITIVE
2503,7697568,K01829.02,,FALSE POSITIVE,FALSE POSITIVE
2504,3326377,K01830.01,Kepler-967 b,CONFIRMED,CANDIDATE
2505,3326377,K01830.02,Kepler-967 c,CONFIRMED,CANDIDATE
2506,11601584,K01831.01,Kepler-324 c,CONFIRMED,CANDIDATE
2507,11601584,K01831.02,Kepler-324 b,CONFIRMED,CANDIDATE
2508,11601584,K01831.03,Kepler-324 d,CONFIRMED,CANDIDATE
2509,11601584,K01831.04,Kepler-324 e,CONFIRMED,CANDIDATE
2510,11709244,K01832.01,Kepler-325 b,CONFIRMED,CANDIDATE
2511,11709244,K01832.02,Kepler-325 c,CONFIRMED,CANDIDATE
2512,11709244,K01832.03,Kepler-325 d,CONFIRMED,CANDIDATE
2513,11853878,K01833.01,Kepler-968 b,CONFIRMED,CANDIDATE
2514,11853878,K01833.02,Kepler-968 d,CONFIRMED,CANDIDATE
2515,11853878,K01833.03,Kepler-968 c,CONFIRMED,CANDIDATE
2516,5802478,K01834.01,,FALSE POSITIVE,FALSE POSITIVE
2517,9471268,K01835.01,Kepler-326 c,CONFIRMED,CANDIDATE
2518,9471268,K01835.02,Kepler-326 b,CONFIRMED,CANDIDATE
2519,9471268,K01835.03,Kepler-326 d,CONFIRMED,CANDIDATE
2520,5389540,K01836.01,,FALSE POSITIVE,FALSE POSITIVE
2521,10657406,K01837.01,Kepler-969 b,CONFIRMED,CANDIDATE
2522,10657406,K01837.02,Kepler-969 c,CONFIRMED,CANDIDATE
2523,5526527,K01838.01,Kepler-970 b,CONFIRMED,CANDIDATE
2524,5856571,K01839.01,Kepler-971 b,CONFIRMED,CANDIDATE
2525,5856571,K01839.02,,CANDIDATE,CANDIDATE
2526,7765528,K01840.01,Kepler-972 b,CONFIRMED,CANDIDATE
2527,7765528,K01840.02,,CANDIDATE,CANDIDATE
2528,11760231,K01841.01,Kepler-973 b,CONFIRMED,CANDIDATE
2529,7779077,K01842.01,Kepler-1770 b,CONFIRMED,CANDIDATE
2530,5080636,K01843.01,Kepler-974 b,CONFIRMED,CANDIDATE
2531,5080636,K01843.02,,CANDIDATE,CANDIDATE
2532,8892721,K01844.01,,FALSE POSITIVE,FALSE POSITIVE
2533,3338885,K01845.01,Kepler-975 b,CONFIRMED,CANDIDATE
2534,3338885,K01845.02,Kepler-975 c,CONFIRMED,CANDIDATE
2535,9886255,K01846.01,Kepler-976 b,CONFIRMED,CANDIDATE
2536,6776401,K01847.01,Kepler-977 b,CONFIRMED,CANDIDATE
2537,7430034,K01848.01,Kepler-978 b,CONFIRMED,CANDIDATE
2538,9735426,K01849.01,Kepler-979 b,CONFIRMED,CANDIDATE
2539,8826168,K01850.01,Kepler-980 b,CONFIRMED,CANDIDATE
2540,10464050,K01851.01,Kepler-981 b,CONFIRMED,CANDIDATE
2541,9763348,K01852.01,Kepler-982 b,CONFIRMED,CANDIDATE
2542,8804397,K01853.01,Kepler-983 b,CONFIRMED,CANDIDATE
2543,9662811,K01854.01,Kepler-984 b,CONFIRMED,CANDIDATE
2544,5992270,K01855.01,,FALSE POSITIVE,FALSE POSITIVE
2545,11570749,K01856.01,,CANDIDATE,CANDIDATE
2546,11297236,K01857.01,Kepler-1771 b,CONFIRMED,CANDIDATE
2547,8160953,K01858.01,Kepler-985 b,CONFIRMED,CANDIDATE
2548,8160953,K01858.02,,CANDIDATE,CANDIDATE
2549,8625821,K01859.01,,FALSE POSITIVE,FALSE POSITIVE
2550,4157325,K01860.01,Kepler-416 b,CONFIRMED,CANDIDATE
2551,4157325,K01860.02,Kepler-416 c,CONFIRMED,CANDIDATE
2552,4157325,K01860.03,Kepler-416 d,CONFIRMED,CANDIDATE
2553,4157325,K01860.04,,CANDIDATE,CANDIDATE
2554,3648437,K01861.01,,CANDIDATE,CANDIDATE
2555,7286173,K01862.01,Kepler-986 b,CONFIRMED,CANDIDATE
2556,11126381,K01863.01,Kepler-1673 b,CONFIRMED,CANDIDATE
2557,4149450,K01864.01,Kepler-1772 b,CONFIRMED,CANDIDATE
2558,9115681,K01865.01,,FALSE POSITIVE,FALSE POSITIVE
2559,9520838,K01866.01,Kepler-987 b,CONFIRMED,CANDIDATE
2560,8167996,K01867.01,Kepler-327 b,CONFIRMED,CANDIDATE
